itemid,mean,dev_std,min,max,sparse
0,0.00010402445, 6.0500923e-05, 1.5864012e-05, 0.00047897524, 0.9822631451417495
1,0.00014982618, 0.00017967376, 1.884314e-07, 0.0018346392, 0.9682093530409498
2,0.000100692705, 4.8986785e-05, 1.3727614e-05, 0.00052868575, 0.9630239883692755
3,9.946547e-05, 2.5252655e-05, 8.868015e-05, 0.00019230098, 0.99859462078992
4,0.00027298348, 0.0002493503, 8.585504e-05, 0.0007752326, 0.9966561667070511
5,0.00011526459, 8.034528e-05, 1.229929e-05, 0.0008645335, 0.9761085534286407
6,0.0008343181, 0.0014658988, 6.098909e-07, 0.01048971, 0.9815362248606736
7,0.00025579846, 0.0003057576, 3.6594276e-05, 0.0018798652, 0.9858977465471287
8,9.136408e-05, 1.4867124e-05, 6.630351e-05, 0.00019036472, 0.9949115580324691
9,9.291382e-05, 1.6442218e-05, 7.9319056e-05, 0.00019063342, 0.9964138599466925
10,0.000121584635, 9.2493385e-05, 1.070475e-05, 0.0005821318, 0.9876423552217107
11,0.000102264545, 2.7872993e-05, 9.356523e-05, 0.00019268923, 0.9977707778047008
12,0.000109063796, 8.198992e-05, 1.965282e-06, 0.0007820181, 0.9717470317421856
13,9.345324e-05, 1.2684092e-06, 8.8385095e-05, 9.3949166e-05, 0.999127695662709
14,9.208332e-05, 1.1358737e-06, 9.100076e-05, 9.396791e-05, 0.9998061545917131
15,0.00016108599, 0.00021085356, 1.2077594e-07, 0.0027670136, 0.9460140537921008
16,9.976529e-05, 4.902482e-05, 5.6258443e-05, 0.0004827884, 0.9850254422098377
17,8.897937e-05, 3.9016886e-06, 7.339605e-05, 9.330662e-05, 0.9975769323964139
18,0, 0, 0, 0, 1
19,9.940169e-05, 5.096574e-05, 2.7391625e-05, 0.0005929682, 0.9719408771504725
20,0.00022011434, 0.00025694797, 3.7441572e-05, 0.0018350619, 0.9773685485825054
21,0.00017846742, 0.0002530627, 2.0868533e-06, 0.0027172365, 0.9530894111945724
22,8.997357e-05, 3.328147e-05, 2.5265124e-06, 0.00036009517, 0.9771747031742186
23,0.00016727152, 0.00020188502, 2.0949327e-07, 0.0014120775, 0.9500363460140537
24,0.00016774387, 0.00023846152, 1.2279356e-06, 0.0036855754, 0.9226556820935304
25,0.00010187344, 3.2517266e-05, 6.870765e-05, 0.0001928283, 0.9954930942573298
26,0.00013094427, 0.00013585786, 1.1438469e-06, 0.0019043327, 0.9171795493094257
27,0.0001308782, 0.00015351448, 3.672677e-08, 0.0024729744, 0.9085049672885873
28,0.00013173882, 0.00019779206, 3.011776e-07, 0.0040785745, 0.9181487763508602
29,0, 0, 0, 0, 1
30,9.8350734e-05, 2.5072006e-05, 8.2813014e-05, 0.00019298792, 0.9966561667070511
31,9.2857736e-05, 1.4845608e-06, 8.728758e-05, 9.407919e-05, 0.9962200145384056
32,0.0001817221, 0.00027353174, 9.4668974e-07, 0.0037961728, 0.9313787254664405
33,0.00020155068, 0.00022401898, 1.6571872e-07, 0.0023480225, 0.9602132299491156
34,9.193332e-05, 2.9701214e-05, 5.2393043e-05, 0.0003698216, 0.9904531136418706
35,0.00013544805, 0.0001244492, 2.7306723e-06, 0.0014211539, 0.9690331960261691
36,9.761405e-05, 2.6582877e-05, 8.0202204e-05, 0.00026849148, 0.9954930942573298
37,0.00018634181, 0.00033719477, 2.196916e-07, 0.0042988085, 0.886018899927308
38,0.00016284808, 0.00017531011, 4.6471527e-07, 0.0018851623, 0.961376302398837
39,0.00010003156, 4.8708618e-05, 2.4374822e-05, 0.0003084244, 0.990210806881512
40,9.250737e-05, 2.140647e-06, 8.428295e-05, 9.365744e-05, 0.9975769323964139
